Date,Open,High,Low,Close,Adj Close,Volume
1966-07-13,1.057943,1.061699,1.052935,1.059195,0.198279,1487600
1966-07-14,1.059195,1.067959,1.052935,1.059195,0.198279,1038300
1966-07-15,1.059195,1.071715,1.056691,1.066707,0.199686,1178100
1966-07-18,1.066707,1.071715,1.059195,1.069211,0.200154,1257900
1966-07-19,1.069211,1.071715,1.060447,1.066707,0.199686,1218000
1966-07-20,1.066707,1.071715,1.042919,1.044171,0.195467,1537500
1966-07-21,1.044171,1.052935,1.039163,1.040415,0.194764,1357800
1966-07-22,1.040415,1.045423,1.012871,1.015375,0.190076,1587400
1966-07-25,1.015375,1.024139,0.979066,0.981571,0.183748,6030300
1966-07-26,0.986579,1.000351,0.986579,0.991587,0.185623,2106600
1966-07-27,0.996595,1.009115,0.996595,0.996595,0.186561,1797100
1966-07-28,0.996595,0.999099,0.982823,0.984075,0.184217,1267900
1966-07-29,0.984075,0.984075,0.951522,0.956530,0.179061,2126500
1966-08-01,0.937750,0.937750,0.923978,0.926482,0.173436,2446000
1966-08-02,0.926482,0.945262,0.921474,0.930238,0.174139,2196400
1966-08-03,0.930238,0.946514,0.928986,0.942758,0.176483,2026700
1966-08-04,0.942758,0.951522,0.936498,0.946514,0.177186,1817000
1966-08-05,0.949018,0.967798,0.949018,0.949018,0.177655,1986800
1966-08-08,0.949018,0.961538,0.947766,0.961538,0.179998,1857000
1966-08-09,0.961538,0.971554,0.961538,0.965294,0.180702,1287900
1966-08-10,0.965294,0.970302,0.946514,0.946514,0.177186,1397700
1966-08-11,0.946514,0.946514,0.936498,0.946514,0.177186,1287900
1966-08-12,0.946514,0.949018,0.926482,0.949018,0.177655,1337800
1966-08-15,0.949018,0.954026,0.937750,0.939002,0.175780,1198000
1966-08-16,0.921474,0.921474,0.903946,0.903946,0.169217,2366200
1966-08-17,0.903946,0.905198,0.892678,0.901442,0.168748,2825400
1966-08-18,0.900190,0.900190,0.880158,0.893930,0.167342,3873700
1966-08-19,0.893930,0.911458,0.881410,0.881410,0.164998,3364600
1966-08-22,0.881410,0.881410,0.853866,0.853866,0.159842,3943600
